danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label,lat,long
0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,audio_features,6ft4hAq6yde8jPZY2i5zLr,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903,4,Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",M,colab,Italy,2,English,R,41.87194,12.56738
0.807,0.656,3,-4.395,0,0.105,0.0165,0,0.0693,0.89,83.943,audio_features,3GtnId3Cm1Xa6joCj08nzW,spotify:track:3GtnId3Cm1Xa6joCj08nzW,https://api.spotify.com/v1/tracks/3GtnId3Cm1Xa6joCj08nzW,https://api.spotify.com/v1/audio-analysis/3GtnId3Cm1Xa6joCj08nzW,185840,4,Jeans,['Justin Quiles'],M,solo,United States,1,Spanish,R,40,-100
0.701,0.375,9,-12.787,1,0.041,0.57,0.00206,0.1,0.253,107.984,audio_features,28zSA1yhGkpqT6SX5GROKn,spotify:track:28zSA1yhGkpqT6SX5GROKn,https://api.spotify.com/v1/tracks/28zSA1yhGkpqT6SX5GROKn,https://api.spotify.com/v1/audio-analysis/28zSA1yhGkpqT6SX5GROKn,225253,4,Roi,['Videoclub'],V,band,France,1,French,RF,8.308854091,5.458262364
0.661,0.564,11,-8.543,1,0.0238,0.077,0.000312,0.112,0.327,100.026,audio_features,41EVzZNXWACIguYgegrrFX,spotify:track:41EVzZNXWACIguYgegrrFX,https://api.spotify.com/v1/tracks/41EVzZNXWACIguYgegrrFX,https://api.spotify.com/v1/audio-analysis/41EVzZNXWACIguYgegrrFX,222655,4,Enfance 80,['Videoclub'],V,band,France,1,French,RF,8.308854091,5.458262364
0.811,0.797,5,-5.428,1,0.165,0.0617,0,0.112,0.541,97.988,audio_features,7sKDftgGirHWTVFMtJoDoh,spotify:track:7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,171133,4,Djadja,['Aya Nakamura'],F,solo,France,1,French,R,8.308854091,5.458262364
0.32,0.5,3,-7.979,1,0.0994,0.134,0,0.108,0.142,91.361,audio_features,4vsAUbPb6q9FpC4AGBFdVh,spotify:track:4vsAUbPb6q9FpC4AGBFdVh,https://api.spotify.com/v1/tracks/4vsAUbPb6q9FpC4AGBFdVh,https://api.spotify.com/v1/audio-analysis/4vsAUbPb6q9FpC4AGBFdVh,202600,4,tomorrow tonight,['Loote'],V,solo,Mali,1,English,R,17.570692,-3.996166
0.583,0.695,9,-5.336,1,0.0423,0.0141,0,0.0527,0.224,104.879,audio_features,0g5EKLgdKvNlln7TNqBByK,spotify:track:0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/audio-analysis/0g5EKLgdKvNlln7TNqBByK,220573,4,Middle,"['DJ Snake', 'Bipolar Sunshine']",M,colab,France,2,English,R,8.308854091,5.458262364
0.572,0.802,7,-4.408,1,0.0807,0.0093,0,0.124,0.255,118.082,audio_features,5Mf84BbHYdrewDABZOH5H6,spotify:track:5Mf84BbHYdrewDABZOH5H6,https://api.spotify.com/v1/tracks/5Mf84BbHYdrewDABZOH5H6,https://api.spotify.com/v1/audio-analysis/5Mf84BbHYdrewDABZOH5H6,237960,4,Talk,"['DJ Snake', 'George Maple']",M,colab,France,2,English,R,8.308854091,5.458262364
0.761,0.62,1,-10.137,0,0.0495,0.366,0.0371,0.142,0.16,115.014,audio_features,4CFAFgARRAmsOzxkcGvkCy,spotify:track:4CFAFgARRAmsOzxkcGvkCy,https://api.spotify.com/v1/tracks/4CFAFgARRAmsOzxkcGvkCy,https://api.spotify.com/v1/audio-analysis/4CFAFgARRAmsOzxkcGvkCy,190558,4,Drive On,"['The Ware', 'YOSIE']",V,colab,France,2,English,RF,8.308854091,5.458262364
0.795,0.689,0,-10.698,1,0.063,0.0282,0.524,0.139,0.41,124.028,audio_features,7tLpXI42s8VipiznMhGd4a,spotify:track:7tLpXI42s8VipiznMhGd4a,https://api.spotify.com/v1/tracks/7tLpXI42s8VipiznMhGd4a,https://api.spotify.com/v1/audio-analysis/7tLpXI42s8VipiznMhGd4a,172379,4,Coffee (Give Me Something) - Ferreck Dawn Remix,"['Tiësto', 'Vintage Culture', 'Ferreck Dawn']",M,colab,Netherlands,3,English,R,21.40884,-52.99206
0.683,0.853,11,-7.081,0,0.0335,0.0527,0.886,0.072,0.107,125.97,audio_features,6eiEPJ16dOxe0hME3NWxfP,spotify:track:6eiEPJ16dOxe0hME3NWxfP,https://api.spotify.com/v1/tracks/6eiEPJ16dOxe0hME3NWxfP,https://api.spotify.com/v1/audio-analysis/6eiEPJ16dOxe0hME3NWxfP,287292,4,Kronos - Original Mix,['HI-LO'],M,solo,Netherlands,1,No/Lang,R,21.40884,-52.99206
0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,audio_features,7x4ASXYEKfQBCewcZhK776,spotify:track:7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/tracks/7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/audio-analysis/7x4ASXYEKfQBCewcZhK776,189653,4,"Ay, DiOs Mío!",['KAROL G'],F,solo,Colombia,1,Spanish,R,4.5709,-74.2973
0.763,0.58,8,-6.196,1,0.144,0.0466,1.60E-05,0.154,0.608,175.937,audio_features,0cRgJuB6TRtb5RZ2HkjSLh,spotify:track:0cRgJuB6TRtb5RZ2HkjSLh,https://api.spotify.com/v1/tracks/0cRgJuB6TRtb5RZ2HkjSLh,https://api.spotify.com/v1/audio-analysis/0cRgJuB6TRtb5RZ2HkjSLh,212011,4,Anaranjado,"['Jowell & Randy', 'J Balvin']",M,colab,Puerto Rico,2,Spanish,R,18.220833,-66.590149
0.574,0.734,1,-2.697,1,0.0728,0.241,0.00806,0.0962,0.769,98.023,audio_features,2SbzdGpOKlH3HIAGTWTbwU,spotify:track:2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/tracks/2SbzdGpOKlH3HIAGTWTbwU,https://api.spotify.com/v1/audio-analysis/2SbzdGpOKlH3HIAGTWTbwU,255507,4,La Modelo,"['Ozuna', 'Cardi B']",V,colab,Puerto Rico,2,Spanish,RF,18.220833,-66.590149
0.727,0.838,9,-2.435,1,0.0472,0.297,0,0.0603,0.933,145.995,audio_features,1Ol5LmdNDNpFu1oNwfgkux,spotify:track:1Ol5LmdNDNpFu1oNwfgkux,https://api.spotify.com/v1/tracks/1Ol5LmdNDNpFu1oNwfgkux,https://api.spotify.com/v1/audio-analysis/1Ol5LmdNDNpFu1oNwfgkux,179339,4,Tutu,"['Camilo', 'Pedro Capó']",M,colab,Colombia,2,Spanish,R,4.5709,-74.2973
0.72,0.606,1,-3.54,1,0.116,0.143,0,0.0824,0.805,165.882,audio_features,0pgj4EzB1XRqgZemoMNG5D,spotify:track:0pgj4EzB1XRqgZemoMNG5D,https://api.spotify.com/v1/tracks/0pgj4EzB1XRqgZemoMNG5D,https://api.spotify.com/v1/audio-analysis/0pgj4EzB1XRqgZemoMNG5D,182709,4,Por Primera Vez,"['Camilo', 'Evaluna Montaner']",V,colab,Colombia,2,Spanish,R,4.5709,-74.2973
0.734,0.775,8,-3.855,1,0.0614,0.186,0.000542,0.123,0.72,166.039,audio_features,0JAZWvvqttGFm4UMDsPQXC,spotify:track:0JAZWvvqttGFm4UMDsPQXC,https://api.spotify.com/v1/tracks/0JAZWvvqttGFm4UMDsPQXC,https://api.spotify.com/v1/audio-analysis/0JAZWvvqttGFm4UMDsPQXC,224187,4,Despeinada,"['Ozuna', 'Camilo']",M,colab,Puerto Rico,2,Spanish,R,18.220833,-66.590149
0.755,0.886,2,-3.042,1,0.087,0.382,1.30E-05,0.613,0.539,124.071,audio_features,6s60yNLuohK4ng5KQ6LjVV,spotify:track:6s60yNLuohK4ng5KQ6LjVV,https://api.spotify.com/v1/tracks/6s60yNLuohK4ng5KQ6LjVV,https://api.spotify.com/v1/audio-analysis/6s60yNLuohK4ng5KQ6LjVV,172975,4,Thing For You - Don Diablo Remix,"['David Guetta', 'Martin Solveig', 'Don Diablo']",M,colab,France,3,English,RF,8.308854091,5.458262364
0.57,0.575,1,-5.387,1,0.0423,0.011,0.533,0.275,0.14,126.009,audio_features,4exhxjbZADzqfzozp1Bu2k,spotify:track:4exhxjbZADzqfzozp1Bu2k,https://api.spotify.com/v1/tracks/4exhxjbZADzqfzozp1Bu2k,https://api.spotify.com/v1/audio-analysis/4exhxjbZADzqfzozp1Bu2k,382262,4,forever free (feat. Duskus),"['San Holo', 'Duskus']",M,colab,Netherlands,2,English,R,21.40884,-52.99206
0.546,0.587,9,-9.315,1,0.334,0.522,0.0467,0.0955,0.334,123.944,audio_features,0h4yWQq8wkQq0rhhA1Ik4F,spotify:track:0h4yWQq8wkQq0rhhA1Ik4F,https://api.spotify.com/v1/tracks/0h4yWQq8wkQq0rhhA1Ik4F,https://api.spotify.com/v1/audio-analysis/0h4yWQq8wkQq0rhhA1Ik4F,185336,4,Drivin Thru the Night,['Petit Biscuit'],M,solo,France,1,English,R,8.308854091,5.458262364
0.786,0.706,9,-6.212,0,0.0537,0.251,0.213,0.142,0.313,120.011,audio_features,5Z3trOR982mBrJcPfrLUsq,spotify:track:5Z3trOR982mBrJcPfrLUsq,https://api.spotify.com/v1/tracks/5Z3trOR982mBrJcPfrLUsq,https://api.spotify.com/v1/audio-analysis/5Z3trOR982mBrJcPfrLUsq,255093,4,Cocaine Model,['ZHU'],M,solo,United States,1,English,RF,40,-100
0.852,0.952,11,-4.542,1,0.143,0.0215,0.463,0.0516,0.871,128.029,audio_features,6ARFe1Qfb3koUk6enfzm0z,spotify:track:6ARFe1Qfb3koUk6enfzm0z,https://api.spotify.com/v1/tracks/6ARFe1Qfb3koUk6enfzm0z,https://api.spotify.com/v1/audio-analysis/6ARFe1Qfb3koUk6enfzm0z,192187,4,Tangerine,['Pickle'],M,solo,United States,1,English,RF,40,-100
0.755,0.948,11,-5.574,0,0.0759,0.123,0.677,0.13,0.909,126.011,audio_features,39971PRJOFyZ1p5XP4HxoX,spotify:track:39971PRJOFyZ1p5XP4HxoX,https://api.spotify.com/v1/tracks/39971PRJOFyZ1p5XP4HxoX,https://api.spotify.com/v1/audio-analysis/39971PRJOFyZ1p5XP4HxoX,209524,4,Like That,['Pickle'],M,solo,United States,1,English,R,40,-100
0.847,0.736,1,-4.542,1,0.266,0.0532,0.000142,0.0302,0.876,160.012,audio_features,4YqCBC4FwzGXuhixt5cgmm,spotify:track:4YqCBC4FwzGXuhixt5cgmm,https://api.spotify.com/v1/tracks/4YqCBC4FwzGXuhixt5cgmm,https://api.spotify.com/v1/audio-analysis/4YqCBC4FwzGXuhixt5cgmm,171000,4,Tra Tra Tra Remix - Remix,"['Ghetto Kids', 'Guaynaa', 'Mad Fuentes']",M,colab,Mexico,3,Spanish,RF,23.6345,-102.5528
0.795,0.792,8,-3.387,0,0.0995,0.0361,0.00593,0.131,0.86,162.051,audio_features,12DGHYNvwPA5wFtxKQoeNZ,spotify:track:12DGHYNvwPA5wFtxKQoeNZ,https://api.spotify.com/v1/tracks/12DGHYNvwPA5wFtxKQoeNZ,https://api.spotify.com/v1/audio-analysis/12DGHYNvwPA5wFtxKQoeNZ,179630,4,CULO,"['Ghetto Kids', 'RD Maravilla']",M,colab,Mexico,2,Spanish,R,23.6345,-102.5528
0.676,0.845,4,-4.555,0,0.0654,0.0718,5.09E-06,0.127,0.758,179.943,audio_features,65Ml8XHXAP9yW1TUYgc3Lo,spotify:track:65Ml8XHXAP9yW1TUYgc3Lo,https://api.spotify.com/v1/tracks/65Ml8XHXAP9yW1TUYgc3Lo,https://api.spotify.com/v1/audio-analysis/65Ml8XHXAP9yW1TUYgc3Lo,191840,4,Besos Mojados,"['Ozuna', 'R.K.M & Ken-Y']",M,colab,Puerto Rico,2,Spanish,R,18.220833,-66.590149
0.595,0.877,9,-7.414,0,0.0442,0.00646,0.0879,0.398,0.081,125.015,audio_features,6TR0FGw4zhlGbQALN065AI,spotify:track:6TR0FGw4zhlGbQALN065AI,https://api.spotify.com/v1/tracks/6TR0FGw4zhlGbQALN065AI,https://api.spotify.com/v1/audio-analysis/6TR0FGw4zhlGbQALN065AI,194233,4,Breathe,"['CamelPhat', 'Cristoph', 'Jem Cooke']",M,colab,England,3,English,R,24.54817255,-43.90224236
0.834,0.386,0,-5.281,0,0.154,0.239,0.0282,0.117,0.425,172.037,audio_features,0VvTZUGSzkTSMrlROI9TRF,spotify:track:0VvTZUGSzkTSMrlROI9TRF,https://api.spotify.com/v1/tracks/0VvTZUGSzkTSMrlROI9TRF,https://api.spotify.com/v1/audio-analysis/0VvTZUGSzkTSMrlROI9TRF,218347,4,Mejor Asi,"['Jay Wheeler', 'DJ Nelson']",M,colab,Puerto Rico,2,Spanish,R,18.220833,-66.590149
0.81,0.854,10,-3.999,0,0.254,0.0732,0,0.123,0.879,154.083,audio_features,4saHEjXw7O1NXJOzBkUKKG,spotify:track:4saHEjXw7O1NXJOzBkUKKG,https://api.spotify.com/v1/tracks/4saHEjXw7O1NXJOzBkUKKG,https://api.spotify.com/v1/audio-analysis/4saHEjXw7O1NXJOzBkUKKG,227939,4,Está Cabrón Ser Yo,"['Bad Bunny', 'Anuel AA']",M,colab,Puerto Rico,2,Spanish,RF,18.220833,-66.590149
0.802,0.787,7,-6.181,0,0.0599,0.0832,0,0.153,0.446,94.026,audio_features,53v2u51nq3CxiKUNphRzP1,spotify:track:53v2u51nq3CxiKUNphRzP1,https://api.spotify.com/v1/tracks/53v2u51nq3CxiKUNphRzP1,https://api.spotify.com/v1/audio-analysis/53v2u51nq3CxiKUNphRzP1,167975,4,Que Malo,"['Bad Bunny', 'Ñengo Flow']",M,colab,Puerto Rico,2,Spanish,RF,18.220833,-66.590149
0.691,0.739,5,-3.09,0,0.229,0.422,3.95E-06,0.11,0.884,83.897,audio_features,4RJz8NfIe09gpKMiRUWKhJ,spotify:track:4RJz8NfIe09gpKMiRUWKhJ,https://api.spotify.com/v1/tracks/4RJz8NfIe09gpKMiRUWKhJ,https://api.spotify.com/v1/audio-analysis/4RJz8NfIe09gpKMiRUWKhJ,248345,4,Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",M,colab,Colombia,3,Spanish,R,4.5709,-74.2973
0.787,0.728,6,-3.455,0,0.389,0.189,2.29E-05,0.0629,0.545,180.066,audio_features,4uoR6qeWeuL4Qeu2qJzkuG,spotify:track:4uoR6qeWeuL4Qeu2qJzkuG,https://api.spotify.com/v1/tracks/4uoR6qeWeuL4Qeu2qJzkuG,https://api.spotify.com/v1/audio-analysis/4uoR6qeWeuL4Qeu2qJzkuG,200198,4,Hawái,['Maluma'],M,solo,Colombia,1,Spanish,RF,4.5709,-74.2973
