danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label
0.843,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983,audio_features,55CHeLEfn5iJ0IIkgaa4si,spotify:track:55CHeLEfn5iJ0IIkgaa4si,https://api.spotify.com/v1/tracks/55CHeLEfn5iJ0IIkgaa4si,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,155497,4,Savage,['Megan Thee Stallion'],F,solo,United States,1,English,FR
0.742,0.731,11,-4.362,0,0.306,0.0851,0,0.131,0.547,174.019,audio_features,06scTb0zbkxYNgpAB3J9fN,spotify:track:06scTb0zbkxYNgpAB3J9fN,https://api.spotify.com/v1/tracks/06scTb0zbkxYNgpAB3J9fN,https://api.spotify.com/v1/audio-analysis/06scTb0zbkxYNgpAB3J9fN,183143,4,B.I.T.C.H.,['Megan Thee Stallion'],F,solo,United States,1,English,FR
0.524,0.686,1,-5.436,0,0.0465,0.0193,0.00949,0.0806,0.291,89.97,audio_features,3rmGtIgrEtj6qSd8doxR78,spotify:track:3rmGtIgrEtj6qSd8doxR78,https://api.spotify.com/v1/tracks/3rmGtIgrEtj6qSd8doxR78,https://api.spotify.com/v1/audio-analysis/3rmGtIgrEtj6qSd8doxR78,210327,4,Hear Me Out,"['Fancy Folks', 'Lujavo', 'Mau Jasso']",M,colab,Mexico,3,English,FR
0.525,0.563,6,-11.397,0,0.0334,0.00012,0.0455,0.172,0.304,113.056,audio_features,3dTlnQeiZcA150ZVYAL4Fz,spotify:track:3dTlnQeiZcA150ZVYAL4Fz,https://api.spotify.com/v1/tracks/3dTlnQeiZcA150ZVYAL4Fz,https://api.spotify.com/v1/audio-analysis/3dTlnQeiZcA150ZVYAL4Fz,229561,4,Sion,['Los Castigos'],M,band,Argentina,1,Spanish,F
0.448,0.72,7,-3.954,1,0.0332,0.0427,0.000292,0.614,0.361,157.919,audio_features,3AkdSFo7quCZ781KCqNK0T,spotify:track:3AkdSFo7quCZ781KCqNK0T,https://api.spotify.com/v1/tracks/3AkdSFo7quCZ781KCqNK0T,https://api.spotify.com/v1/audio-analysis/3AkdSFo7quCZ781KCqNK0T,195000,3,Run,['Joji'],M,solo,Japan,1,English,FR
0.664,0.848,11,-4.51,0,0.0322,0.0245,0.000127,0.172,0.502,104.998,audio_features,3LbZIhU0smEU5SUnxod4j4,spotify:track:3LbZIhU0smEU5SUnxod4j4,https://api.spotify.com/v1/tracks/3LbZIhU0smEU5SUnxod4j4,https://api.spotify.com/v1/audio-analysis/3LbZIhU0smEU5SUnxod4j4,372867,4,Breathe Deeper,['Tame Impala'],M,band,Australia,1,English,FR
0.701,0.396,4,-10.182,0,0.119,0.112,0.0209,0.223,0.115,129.004,audio_features,1ToprX3cpBiXoAe5eNSk74,spotify:track:1ToprX3cpBiXoAe5eNSk74,https://api.spotify.com/v1/tracks/1ToprX3cpBiXoAe5eNSk74,https://api.spotify.com/v1/audio-analysis/1ToprX3cpBiXoAe5eNSk74,206361,4,Eleven,['Khalid'],M,solo,United States,1,English,FR
0.88,0.824,2,-1.595,0,0.0627,0.312,2.14E-05,0.115,0.678,119.971,audio_features,1e5CWa6Yz7z5J03kTXTDYt,spotify:track:1e5CWa6Yz7z5J03kTXTDYt,https://api.spotify.com/v1/tracks/1e5CWa6Yz7z5J03kTXTDYt,https://api.spotify.com/v1/audio-analysis/1e5CWa6Yz7z5J03kTXTDYt,160000,4,Love Is A Drug,['Empress Of'],F,solo,United States,1,English,F
0.952,0.733,7,-1.781,1,0.0469,0.0292,0.118,0.15,0.926,122.007,audio_features,0HV4a9q7A92Wt2ff14Vb94,spotify:track:0HV4a9q7A92Wt2ff14Vb94,https://api.spotify.com/v1/tracks/0HV4a9q7A92Wt2ff14Vb94,https://api.spotify.com/v1/audio-analysis/0HV4a9q7A92Wt2ff14Vb94,160107,4,Give Me Another Chance,['Empress Of'],F,solo,United States,1,English,F
0.827,0.572,0,-5.745,0,0.0835,0.429,0.0117,0.114,0.66,103.006,audio_features,6US3sBxFujqlBEgeuzPZt6,spotify:track:6US3sBxFujqlBEgeuzPZt6,https://api.spotify.com/v1/tracks/6US3sBxFujqlBEgeuzPZt6,https://api.spotify.com/v1/audio-analysis/6US3sBxFujqlBEgeuzPZt6,160697,4,Mi Culpa,"['Princesa Alba', 'Alizzz']",V,colab,Chile,2,Spanish,FR
0.647,0.554,0,-3.14,1,0.032,0.348,0,0.317,0.737,141.823,audio_features,5Xitt5a5uLQ1QtYdFxmi9e,spotify:track:5Xitt5a5uLQ1QtYdFxmi9e,https://api.spotify.com/v1/tracks/5Xitt5a5uLQ1QtYdFxmi9e,https://api.spotify.com/v1/audio-analysis/5Xitt5a5uLQ1QtYdFxmi9e,159133,4,Se Me OlvidÃ³,['Christian Nodal'],M,solo,Mexico,1,Spanish,FR
0.829,0.665,4,-6.403,0,0.219,0.0548,0.000943,0.231,0.592,109.991,audio_features,4Uyh4uFtztCHfd65ywHCL5,spotify:track:4Uyh4uFtztCHfd65ywHCL5,https://api.spotify.com/v1/tracks/4Uyh4uFtztCHfd65ywHCL5,https://api.spotify.com/v1/audio-analysis/4Uyh4uFtztCHfd65ywHCL5,205053,4,Kinky (feat. Ke$ha),['Kesha'],F,solo,United States,1,English,F
0.539,0.638,7,-6.049,1,0.136,0.00676,0,0.123,0.222,179.822,audio_features,0smgkpVia3VCXgY4qhVJvp,spotify:track:0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/tracks/0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/audio-analysis/0smgkpVia3VCXgY4qhVJvp,213333,4,Guilty Conscience,['070 Shake'],F,solo,United States,1,English,F
0.565,0.631,2,-7.623,0,0.0333,0.394,0.734,0.0967,0.178,79.987,audio_features,6HV9d8u4WJ9lzbGrH5OQ6G,spotify:track:6HV9d8u4WJ9lzbGrH5OQ6G,https://api.spotify.com/v1/tracks/6HV9d8u4WJ9lzbGrH5OQ6G,https://api.spotify.com/v1/audio-analysis/6HV9d8u4WJ9lzbGrH5OQ6G,172173,4,We Will Always Love You (feat. Blood Orange),"['The Avalanches', 'Blood Orange']",M,band-colab,Australia,2,English,F
0.705,0.496,9,-8.681,1,0.106,0.0602,0,0.205,0.267,149.929,audio_features,4KNlASXNNrYYmNZj4KG8qX,spotify:track:4KNlASXNNrYYmNZj4KG8qX,https://api.spotify.com/v1/tracks/4KNlASXNNrYYmNZj4KG8qX,https://api.spotify.com/v1/audio-analysis/4KNlASXNNrYYmNZj4KG8qX,157954,4,Reminds Me,['Kim Petras'],F,solo,Germany,1,English,FR
0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,audio_features,2p8IUWQDrpjuFltbdgLOag,spotify:track:2p8IUWQDrpjuFltbdgLOag,https://api.spotify.com/v1/tracks/2p8IUWQDrpjuFltbdgLOag,https://api.spotify.com/v1/audio-analysis/2p8IUWQDrpjuFltbdgLOag,361027,4,After Hours,['The Weeknd'],M,solo,United States,1,English,F
0.65,0.637,9,-6.195,1,0.0369,0.0814,0.000607,0.51,0.575,140.115,audio_features,7ikRId3U9AXd6tfF2fbItC,spotify:track:7ikRId3U9AXd6tfF2fbItC,https://api.spotify.com/v1/tracks/7ikRId3U9AXd6tfF2fbItC,https://api.spotify.com/v1/audio-analysis/7ikRId3U9AXd6tfF2fbItC,145222,4,Rodeo - feat. Nas,"['Lil Nas X', 'Nas']",M,colab,United States,2,English,FR
0.875,0.813,7,-4.502,1,0.0579,0.00618,0,0.321,0.859,114.993,audio_features,6zrJLhslleCHby0wbUnvVy,spotify:track:6zrJLhslleCHby0wbUnvVy,https://api.spotify.com/v1/tracks/6zrJLhslleCHby0wbUnvVy,https://api.spotify.com/v1/audio-analysis/6zrJLhslleCHby0wbUnvVy,184882,4,Future Nostalgia,['Dua Lipa'],F,solo,England,1,English,FR
